Leôncio leôncio NP00SP0 1 -
é ser VMIP3S0 1 02604760-v:0.0144392
estagiário estagiário NCMS000 1 10722385-n:0.00398895
de de SP 1 -
escritório escritório NCMS000 1 03118846-n:0.0038896
especializado especializar VMP00SM 0.992518 00437732-v:0.00398694
em em SP 1 -
a o DA0FS0 1 -
área área NCFS000 1 08509442-n:0.00217098/05999134-n:0.00192055
cível cível AQ0CS00 1 -
e e CC 0.999951 -
testemunha testemunhar VMIP3S0 0.243548 01014821-v:0.00422505
o o DA0MS0 0.950254 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
norma norma NCFS000 1 06652242-n:0.00146017/13854488-n:0.00145051/05846054-n:0.00138438
legal legal AQ0CS00 1 01400562-a:0.00228521/02499148-a:0.00199607
por por SP 1 -
funcionário funcionário NCMS000 1 10791115-n:0.0037832
público público AQ0MS00 0.47277 00493297-a:0.003946
, , Fc 1 -
imediatamente imediato RG 1 -
comunicando comunicar VMG0000 1 00873682-v:0.00223142/00740577-v:0.00222808
a o DA0FS0 0.675415 -
situação situação NCFS000 1 00024720-n:0.00140774/13925752-n:0.000929502/13920835-n:0.000841269/13927383-n:0.000795306/05074774-n:0.000722085/08622950-n:0.000717639
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
seu seu DP3MSS 0.957305 -
advogado advogado NCMS000 0.975904 10249950-n:0.00123234/09774783-n:0.000953305/09775663-n:0.000885069/10623175-n:0.000884737/09840963-n:0.000857575
supervisor supervisor NCMS000 1 10676877-n:0.00452164
. . Fp 1 -

Ambos ambos PI0MP00 0.927632 -
dirigem dirigir VMIP3P0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
órgão órgão NCMS000 1 05297523-n:0.000702994/03854065-n:0.000683523/03273551-n:0.000616761/03494537-n:0.000579865/13087625-n:0.000578037/06595056-n:0.000574587/08349350-n:0.000561575
diretor diretor NCMS000 1 10014939-n:0.00120039/10474645-n:0.00109783/10015485-n:0.00105139/10468559-n:0.00102521
administrativo administrativo AQ0MS00 1 02904075-a:0.00429748
competente competente AQ0CS00 0.585551 00510050-a:0.00210486/02226162-a:0.00208681
e e CC 0.999951 -
reclamam reclamar VMIP3P0 1 00907147-v:0.00350645/00910973-v:0.0021047/00910891-v:0.00141419
por por SP 1 -
o o DA0MS0 1 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00297647/06532330-n:0.00132169/05872982-n:0.00108499/08456347-n:0.000988927
, , Fc 1 -
o o PD0MS00 0.0313531 -
que que PR0CN00 0.584265 -
